"tomatometer_rating","movie_title","tomatometer_count","genre"
96,The Fugitive,75,"Action & Adventure, Drama, Mystery & Suspense"
96,The King and I,25,"Classics, Musical & Performing Arts, Romance"
96,The Lodger: A Story of the London Fog,24,"Classics, Drama, Mystery & Suspense"
96,The Manchurian Candidate,56,"Classics, Drama, Mystery & Suspense"
96,The Red Shoes,57,"Classics, Drama, Musical & Performing Arts, Romance"
96,The Stranger,26,"Classics, Drama, Mystery & Suspense"
96,They Drive by Night,23,"Classics, Drama"
96,Touch of Evil,76,"Classics, Drama, Mystery & Suspense"
96,Twelve O'Clock High,24,"Action & Adventure, Classics, Drama"
96,Unforgiven,98,"Drama, Western"
95,"12 Years a Slave",358,Drama
95,"13 Assassins",127,"Action & Adventure, Art House & International"
95,"1985",43,Drama
95,"20,000 Days on Earth",85,"Documentary, Musical & Performing Arts, Special Interest"
95,A Quiet Place,364,"Drama, Horror, Mystery & Suspense"
95,Beauty and The Beast (La Belle et la b?te),64,"Drama, Science Fiction & Fantasy, Romance"
95,Born Yesterday,22,"Classics, Comedy, Drama"
95,Broken Blossoms,22,"Classics, Drama, Romance"
95,Charade,39,"Classics, Comedy, Drama, Mystery & Suspense"
95,Cover Girl,19,"Classics, Comedy, Musical & Performing Arts, Romance"
95,Crude,66,"Documentary, Special Interest"
95,Dead Man Walking,61,"Drama, Mystery & Suspense"
95,Der Blaue Engel (The Blue Angel),44,"Art House & International, Classics, Drama, Musical & Performing Arts"
95,Diabolique (Les Diaboliques),43,Mystery & Suspense
95,Dinner at Eight,19,"Classics, Comedy, Drama, Romance"
95,Hamlet,56,"Drama, Romance"
95,Hofshat Kaits (My Father My Lord),37,"Art House & International, Drama"
95,House of Wax,41,"Drama, Horror, Mystery & Suspense"
95,Julius Caesar,21,"Classics, Drama, Mystery & Suspense"
95,Mary and Max,64,"Animation, Comedy, Drama"
95,Mighty Joe Young,20,"Action & Adventure, Classics, Drama, Science Fiction & Fantasy"
95,My Winnipeg,91,"Documentary, Special Interest"
95,Rudolph the Red-Nosed Reindeer,20,"Animation, Classics, Kids & Family, Television"
95,Spartacus,57,"Action & Adventure, Classics, Drama"
95,Strictly Ballroom,41,"Comedy, Drama, Romance"
95,The Birds,55,"Classics, Horror, Mystery & Suspense"
95,The Connection,19,"Classics, Drama"
95,The Cove,130,Documentary
95,The Day the Earth Stood Still,55,"Classics, Drama, Science Fiction & Fantasy"
95,The Fly,39,"Classics, Horror, Mystery & Suspense, Science Fiction & Fantasy"
95,The Last of the Mohicans,40,"Action & Adventure, Drama, Romance"
95,The Uninvited,19,"Horror, Mystery & Suspense, Science Fiction & Fantasy, Romance"
95,Wuthering Heights,21,"Classics, Drama, Romance"
94,"3 Women",31,"Classics, Drama"
94,"3-4x juugatsu (Boiling Point)",17,"Action & Adventure, Art House & International, Comedy, Drama, Mystery & Suspense"
94,"600 Miles",31,"Drama, Mystery & Suspense"
94,"6ixtynin9",17,"Action & Adventure, Art House & International, Comedy, Mystery & Suspense"
94,A Band Called Death,50,"Documentary, Musical & Performing Arts"
94,A Raisin in the Sun,17,"Classics, Drama"
94,A Skin So Soft (Ta peau si lisse),16,"Documentary, Sports & Fitness"
94,A Touch of Sin,82,Drama
94,Captains Courageous,16,"Action & Adventure, Classics"
94,Dear Zachary: A Letter to a Son About His Father,51,"Documentary, Drama, Special Interest"
94,Encounters at the End of the World,111,Documentary
94,Faust,18,"Art House & International, Horror, Science Fiction & Fantasy"
94,Home,35,"Art House & International, Documentary, Drama"
94,Lake Mungo,17,"Horror, Mystery & Suspense"
94,Lone Star,47,"Drama, Mystery & Suspense, Western, Romance"
94,Long Day's Journey Into Night,16,"Classics, Drama"
94,Manhunter,36,"Action & Adventure, Mystery & Suspense"
94,Matinee,34,"Comedy, Drama, Horror, Kids & Family"
94,Monkey Business,18,"Classics, Comedy"
94,Mutiny on the Bounty,35,"Action & Adventure, Classics, Drama"
94,Our Man in Havana,17,"Classics, Comedy, Drama, Mystery & Suspense"
94,Point Blank,35,"Action & Adventure, Classics, Drama, Mystery & Suspense"
94,Richard III,50,Drama
94,Rocky,62,"Drama, Sports & Fitness"
94,Romeo and Juliet,36,"Drama, Romance"
94,The Apartment,65,"Classics, Comedy, Drama, Romance"
94,The Cat and the Canary,16,"Classics, Horror, Mystery & Suspense"
94,The Hound of the Baskervilles,17,"Art House & International, Classics, Mystery & Suspense"
94,The Music Man,17,"Musical & Performing Arts, Romance"
94,The Ten Commandments,35,"Classics, Drama, Faith & Spirituality"
94,The Wrecking Crew,70,"Documentary, Musical & Performing Arts"
94,Under the Sea 3D,48,Documentary
94,Winter's Bone,169,Drama
93,"127 Hours",231,Drama
93,"2001: A Space Odyssey",104,"Classics, Science Fiction & Fantasy"
93,"48 HRS",40,"Action & Adventure, Comedy"
93,"50/50",197,"Comedy, Drama"
93,"99 Homes",151,"Drama, Mystery & Suspense"
93,A Fantastic Woman (Una mujer fant�stica),215,"Art House & International, Drama"
93,A Shot in the Dark,30,"Classics, Comedy, Drama"
93,A Simple Life,30,"Art House & International, Drama"
93,Cat People,46,"Drama, Horror, Romance"
93,Champion,14,"Classics, Drama"
93,Dangerous Liaisons,30,Drama
